individual,day,dive_no,total_N,total_rms,max_depth,dive_dur,Vair,BD,initial_depth,avg_pitch,avg_speed,glide_duration,cvar_pitch,cvar_roll
ml17_301a,2,7,84,1.259891804,325.1,915,4.316546763,1041.22,15.164731,-59.06725383,2.333043989,18,0.011454053,0.426376486
ml17_301a,2,8,212,1.17414459,558.4,1155,17.74580336,1041.22,24.594547,-62.30956,2.298950554,13,0.002110268,0.376637605
ml17_301a,2,9,92,1.056429738,390.6,1013,25.65947242,1041.22,15.842736,-73.15457235,1.82664839,20,0.003960975,0.385672099
ml17_301a,24,12,209,1.250991661,523.8,1193,23.50119904,1036.971,25.096327,-84.82620585,1.9447651,13,0.000120676,0.022318654
ml17_301a,24,13,136,1.274431319,533,1365,22.78177458,1036.971,20.140018,-80.87228124,1.809403476,17,0.000639743,0.127932532
ml17_301a,24,14,164,1.228759232,543.3,1342,15.58752998,1036.971,21.691372,-81.89796829,2.049790957,14,0.000728467,0.00087571
ml17_301a,24,15,135,1.118921554,551,1460,13.42925659,1036.971,17.636736,-80.29773035,1.934501935,17,0.000816581,0.000970124
ml17_301a,24,16,207,1.224424943,542,1593,20.38369305,1036.971,23.970768,-81.38208213,1.874783593,15,0.000194976,0.003675858
ml17_301a,24,21,235,1.357409988,442.1,1004,26.37889688,1036.971,28.478968,-80.92143692,1.965698983,12,2.77E-05,0.020164884
ml17_301a,24,38,188,1.180016216,432,910,12.94964029,1036.971,28.461676,-85.34590533,1.949059958,12,0.000349909,0.024215273
ml17_301a,24,4,113,1.263189217,343.1,1153,8.153477218,1036.971,16.577726,-82.24792344,2.156102563,16,0.001001359,0.139648811
ml17_301a,24,47,163,1.293351094,404.9,1071,19.90407674,1036.971,27.089674,-82.34271362,1.917404938,13,0.000472704,0.070175627
ml17_301a,24,48,236,1.240917298,384.4,1216,20.86330935,1036.971,24.678156,-75.75538579,1.900219786,14,0.000609425,0.13921605
ml17_301a,24,49,167,1.152623002,385.8,1220,14.38848921,1036.971,30.885641,-72.30588882,1.974760627,11,0.000374733,0.244385613
ml17_301a,24,5,228,1.144136296,397.8,1279,24.2206235,1036.971,25.028402,-82.70330921,1.896636807,14,0.000210041,0.180218647
ml17_301a,24,62,129,0.802997346,437.3,836,10.79136691,1036.971,17.272379,-83.24466195,1.783553158,19,0.000355895,0.004532586
ml17_301a,24,63,93,0.889659553,422.8,832,9.112709832,1036.971,15.786327,-79.10900242,1.939628437,19,0.000170889,0.165981915
ml17_301a,24,65,110,1.002097917,445.1,874,12.94964029,1036.971,17.749559,-80.72618233,1.895301017,18,0.000369471,0.063292201
ml17_301a,9,16,271,1.259029712,571.1,1341,22.54196643,1039.213,29.377827,-72.67474655,2.131208582,11,0.00202049,0.184828599
ml17_301a,9,33,212,1.37012168,553.4,1206,17.98561151,1039.213,29.487576,-73.49764255,2.024915309,11,0.004216063,0.3581359
ml17_301a,9,4,179,1.31078757,422.7,1280,22.30215827,1039.213,26.901777,-74.03906833,2.077901408,12,0.001843534,0.121970482
ml17_301a,9,42,175,1.287789407,263.5,792,19.18465228,1039.213,25.111647,-69.13447958,2.278687683,12,0.000492139,0.286710822
ml17_301a,9,47,195,1.289944505,519.5,907,21.10311751,1039.213,27.622499,-65.42999055,2.263767,11,0.000153952,0.530981586
ml17_301a,9,50,127,1.08786709,381,947,10.3117506,1039.213,20.573486,-64.41394673,2.189346487,15,0.000658953,0.395817666
ml17_301a,9,52,70,1.064908403,430.6,1021,13.18944844,1039.213,14.278493,-63.5981649,2.008421457,21,0.004588043,0.3441972
ml17_301a,9,55,70,0.982021348,367.3,1008,12.47002398,1039.213,12.099657,-70.6336802,1.908709767,15,0.002733669,0.590294328
ml17_301a,9,6,103,1.164201538,483.8,1200,18.70503597,1039.213,18.350361,-79.25537965,2.005483488,17,0.004595593,0.15368227
ml17_301a,9,7,136,1.204201685,513.3,1275,17.98561151,1039.213,18.574854,-75.31372782,2.029323565,17,0.0037512,0.239248538
ml18_292a,17,10,150,1.124863539,370,906,2.100840336,1037.229,28.522514,-57.52009279,1.92050175,14,0.000251597,0.004080424
ml18_292a,17,11,187,1.075517979,394.3,965,18.06722689,1037.229,19.393406,-69.77984184,1.744105142,19,0.00127596,0.234437127
ml18_292a,17,12,77,1.114512855,413.7,882,20.58823529,1037.229,11.256415,-73.85326314,1.352125271,28,0.005736295,0.474114878
ml18_292a,17,13,130,1.365046783,408.5,810,21.42857143,1037.229,14.693895,-76.08385113,1.627686113,23,0.000719166,0.001275371
ml18_292a,17,14,183,1.296477307,368.4,804,22.26890756,1037.229,17.271549,-79.16413252,1.628127019,21,0.000139144,0.177674688
